0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.00,1.91,1.99,1.99,1.96,1.99,1.92,1.99,1.98,2.00,1.96,1.98,1.88,3.70,3.93,3.77,3.89,1.91,1.95,1.93
1.91,0.00,1.95,1.95,1.97,1.94,1.98,1.90,1.94,1.90,1.93,1.95,1.98,3.46,1.87,1.84,1.90,1.95,1.89,3.83
1.99,1.95,0.00,1.99,1.98,1.99,1.95,1.98,1.98,1.98,1.96,1.98,1.93,3.70,3.93,3.77,3.89,1.93,1.96,1.93
1.99,1.95,1.99,0.00,1.99,2.00,1.97,1.99,2.00,1.98,1.98,1.99,1.91,3.70,1.91,3.77,1.90,1.93,1.91,1.93
1.96,1.97,1.98,1.99,0.00,1.99,1.99,1.97,1.99,1.96,1.98,1.99,1.92,3.70,1.93,3.77,1.93,1.94,1.89,1.92
1.99,1.94,1.99,2.00,1.99,0.00,1.95,1.99,1.99,1.99,1.98,1.99,1.90,3.70,1.88,3.77,1.87,1.91,1.93,1.92
1.92,1.98,1.95,1.97,1.99,1.95,0.00,1.92,1.97,1.91,1.94,1.97,1.93,3.70,1.94,1.86,1.96,1.96,3.94,3.94
1.99,1.90,1.98,1.99,1.97,1.99,1.92,0.00,1.98,2.00,1.98,1.98,1.87,3.70,1.86,3.77,1.85,1.88,1.93,1.90
1.98,1.94,1.98,2.00,1.99,1.99,1.97,1.98,0.00,1.98,1.98,1.99,1.89,3.70,1.92,3.77,1.92,1.93,1.89,1.94
2.00,1.90,1.98,1.98,1.96,1.99,1.91,2.00,1.98,0.00,1.97,1.98,1.87,3.70,3.93,3.77,3.89,1.89,1.94,1.91
1.96,1.93,1.96,1.98,1.98,1.98,1.94,1.98,1.98,1.97,0.00,1.98,1.90,3.78,1.90,3.60,1.88,1.87,1.89,3.89
1.98,1.95,1.98,1.99,1.99,1.99,1.97,1.98,1.99,1.98,1.98,0.00,1.92,3.63,1.90,3.75,1.92,1.95,1.91,1.91
1.88,1.98,1.93,1.91,1.92,1.90,1.93,1.87,1.89,1.87,1.90,1.92,0.00,3.32,3.67,1.79,1.84,1.94,1.92,3.77
3.70,3.46,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.78,3.63,3.32,0.00,3.87,3.52,3.70,3.55,3.61,3.84
3.93,1.87,3.93,1.91,1.93,1.88,1.94,1.86,1.92,3.93,1.90,1.90,3.67,3.87,0.00,3.64,1.97,3.81,3.84,3.93
3.77,1.84,3.77,3.77,3.77,3.77,1.86,3.77,3.77,3.77,3.60,3.75,1.79,3.52,3.64,0.00,3.77,1.88,3.60,3.83
3.89,1.90,3.89,1.90,1.93,1.87,1.96,1.85,1.92,3.89,1.88,1.92,1.84,3.70,1.97,3.77,0.00,1.93,3.77,3.94
1.91,1.95,1.93,1.93,1.94,1.91,1.96,1.88,1.93,1.89,1.87,1.95,1.94,3.55,3.81,1.88,1.93,0.00,1.87,1.90
1.95,1.89,1.96,1.91,1.89,1.93,3.94,1.93,1.89,1.94,1.89,1.91,1.92,3.61,3.84,3.60,3.77,1.87,0.00,1.83
1.93,3.83,1.93,1.93,1.92,1.92,3.94,1.90,1.94,1.91,3.89,1.91,3.77,3.84,3.93,3.83,3.94,1.90,1.83,0.00
