0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,0,0,0,0,1,1,0,3,0,0,0,3,0,4,0,0,0,0
1,0,0,3,0,0,0,0,0,3,3,0,0,1,0,4,0,0,0,1
0,0,0,0,1,0,1,3,0,3,1,0,3,0,0,4,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0
0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,4,0,0,0,0
1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0
1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0
3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,4,1,1,0,1
0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0
0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0
4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,0,4,0,4,4
0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,3,0,3
0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0
