Date,Station0,Station1,Station2,Station3,Station4,Station5
01/01/2019 05:30,0.0,0.0,0.0,1.0,0.0,0.0
01/01/2019 05:45,1.0,5.0,0.0,0.0,4.0,0.0
01/01/2019 06:00,1.0,7.0,3.0,10.0,6.0,74.0
01/01/2019 06:15,518.0,93.0,47.0,47.0,38.0,143.0
01/01/2019 06:30,915.0,156.0,74.0,80.0,63.0,94.0
01/01/2019 06:45,810.0,119.0,58.0,120.0,92.0,64.0
01/01/2019 07:00,900.0,183.0,73.0,187.0,106.0,95.0
01/01/2019 07:15,1059.0,325.0,78.0,249.0,164.0,118.0
01/01/2019 07:30,1259.0,398.0,129.0,345.0,228.0,155.0
01/01/2019 07:45,1561.0,472.0,160.0,439.0,296.0,189.0
01/01/2019 08:00,1876.0,426.0,193.0,354.0,287.0,217.0
01/01/2019 08:15,1935.0,630.0,265.0,438.0,341.0,250.0
01/01/2019 08:30,1743.0,868.0,254.0,552.0,436.0,499.0
01/01/2019 08:45,2103.0,1219.0,288.0,646.0,413.0,447.0
01/01/2019 09:00,2156.0,1288.0,283.0,650.0,497.0,480.0
01/01/2019 09:15,2181.0,1175.0,224.0,838.0,544.0,485.0
01/01/2019 09:30,2134.0,1381.0,279.0,778.0,512.0,501.0
01/01/2019 09:45,1939.0,1564.0,254.0,697.0,604.0,577.0
01/01/2019 10:00,2197.0,1656.0,241.0,764.0,717.0,502.0
01/01/2019 10:15,2116.0,1998.0,298.0,728.0,690.0,548.0
01/01/2019 10:30,2257.0,1761.0,257.0,829.0,755.0,562.0
01/01/2019 10:45,2307.0,2244.0,296.0,830.0,812.0,580.0
01/01/2019 11:00,2467.0,2097.0,309.0,878.0,827.0,717.0
01/01/2019 11:15,2691.0,2148.0,287.0,832.0,870.0,675.0
01/01/2019 11:30,2532.0,2246.0,313.0,739.0,871.0,607.0
01/01/2019 11:45,2894.0,2183.0,287.0,647.0,786.0,661.0
01/01/2019 12:00,3086.0,2309.0,295.0,678.0,719.0,667.0
01/01/2019 12:15,3554.0,2087.0,315.0,673.0,807.0,885.0
01/01/2019 12:30,3724.0,2323.0,320.0,533.0,926.0,758.0
01/01/2019 12:45,3777.0,2219.0,314.0,775.0,894.0,800.0
01/01/2019 13:00,3375.0,2381.0,385.0,917.0,836.0,885.0
01/01/2019 13:15,3478.0,2231.0,344.0,905.0,804.0,925.0
01/01/2019 13:30,3504.0,2214.0,363.0,746.0,790.0,957.0
01/01/2019 13:45,3163.0,2134.0,392.0,762.0,730.0,926.0
01/01/2019 14:00,3307.0,2347.0,315.0,678.0,844.0,935.0
01/01/2019 14:15,3701.0,2213.0,427.0,873.0,828.0,1045.0
01/01/2019 14:30,3620.0,2207.0,411.0,836.0,845.0,1128.0
01/01/2019 14:45,4207.0,1981.0,442.0,847.0,762.0,866.0
01/01/2019 15:00,3717.0,1944.0,426.0,873.0,711.0,1056.0
01/01/2019 15:15,3641.0,1713.0,449.0,877.0,676.0,852.0
01/01/2019 15:30,3564.0,1710.0,453.0,656.0,618.0,1139.0
01/01/2019 15:45,4115.0,1619.0,534.0,842.0,642.0,1004.0
01/01/2019 16:00,3536.0,1256.0,512.0,898.0,587.0,919.0
01/01/2019 16:15,4087.0,1428.0,562.0,1014.0,592.0,825.0
01/01/2019 16:30,3521.0,1364.0,559.0,913.0,560.0,932.0
01/01/2019 16:45,3719.0,1167.0,504.0,858.0,655.0,755.0
01/01/2019 17:00,3323.0,1117.0,572.0,794.0,600.0,823.0
01/01/2019 17:15,2879.0,1138.0,591.0,881.0,650.0,811.0
01/01/2019 17:30,3068.0,1024.0,516.0,776.0,620.0,846.0
01/01/2019 17:45,2928.0,1009.0,579.0,805.0,530.0,677.0
01/01/2019 18:00,2959.0,944.0,639.0,667.0,488.0,745.0
01/01/2019 18:15,2855.0,843.0,475.0,725.0,452.0,755.0
01/01/2019 18:30,2948.0,833.0,580.0,660.0,458.0,683.0
01/01/2019 18:45,2526.0,711.0,440.0,691.0,366.0,492.0
01/01/2019 19:00,2548.0,612.0,418.0,668.0,342.0,560.0
01/01/2019 19:15,2218.0,596.0,370.0,623.0,309.0,463.0
01/01/2019 19:30,2054.0,616.0,359.0,489.0,300.0,469.0
01/01/2019 19:45,2056.0,502.0,475.0,477.0,251.0,495.0
01/01/2019 20:00,1790.0,363.0,449.0,376.0,240.0,351.0
01/01/2019 20:15,1348.0,389.0,453.0,375.0,239.0,374.0
01/01/2019 20:30,1198.0,336.0,464.0,351.0,252.0,366.0
01/01/2019 20:45,1084.0,365.0,348.0,307.0,197.0,318.0
01/01/2019 21:00,859.0,262.0,480.0,292.0,216.0,294.0
01/01/2019 21:15,632.0,189.0,423.0,232.0,170.0,222.0
01/01/2019 21:30,394.0,176.0,310.0,340.0,171.0,198.0
01/01/2019 21:45,337.0,167.0,311.0,266.0,152.0,225.0
01/01/2019 22:00,207.0,116.0,285.0,264.0,152.0,203.0
01/01/2019 22:15,254.0,119.0,276.0,220.0,117.0,219.0
01/01/2019 22:30,155.0,73.0,187.0,99.0,124.0,167.0
01/01/2019 22:45,537.0,79.0,60.0,84.0,43.0,82.0
01/01/2019 23:00,1197.0,136.0,84.0,144.0,84.0,141.0
01/01/2019 23:15,1163.0,260.0,117.0,340.0,123.0,164.0
01/01/2019 23:30,1145.0,406.0,214.0,439.0,221.0,228.0
01/01/2019 23:45,1405.0,545.0,372.0,631.0,340.0,239.0
01/02/2019 00:00,1631.0,1317.0,738.0,891.0,489.0,427.0
01/02/2019 00:15,2037.0,1492.0,1155.0,1300.0,828.0,789.0
01/02/2019 00:30,2601.0,1150.0,2020.0,1190.0,1164.0,1168.0
01/02/2019 00:45,2489.0,1275.0,2854.0,1183.0,1355.0,1375.0
01/02/2019 01:00,2456.0,1338.0,3649.0,990.0,988.0,1176.0
01/02/2019 01:15,2690.0,1338.0,3442.0,1020.0,846.0,1156.0
01/02/2019 01:30,1958.0,1475.0,2387.0,1048.0,726.0,844.0
01/02/2019 01:45,2146.0,1410.0,1937.0,924.0,713.0,840.0
01/02/2019 02:00,2124.0,962.0,870.0,815.0,559.0,589.0
01/02/2019 02:15,1626.0,1173.0,585.0,783.0,519.0,438.0
01/02/2019 02:30,1712.0,867.0,468.0,591.0,469.0,377.0
01/02/2019 02:45,1442.0,928.0,454.0,636.0,439.0,369.0
01/02/2019 03:00,1478.0,856.0,319.0,601.0,399.0,367.0
01/02/2019 03:15,1472.0,749.0,295.0,615.0,419.0,340.0
01/02/2019 03:30,1195.0,902.0,326.0,506.0,374.0,331.0
01/02/2019 03:45,1373.0,730.0,302.0,610.0,322.0,370.0
01/02/2019 04:00,1395.0,675.0,299.0,389.0,386.0,321.0
01/02/2019 04:15,1359.0,797.0,303.0,493.0,335.0,405.0
01/02/2019 04:30,1588.0,830.0,277.0,441.0,380.0,311.0
01/02/2019 04:45,1806.0,641.0,328.0,368.0,369.0,371.0
01/02/2019 05:00,1649.0,889.0,349.0,437.0,417.0,398.0
01/02/2019 05:15,1682.0,923.0,294.0,488.0,409.0,370.0
01/02/2019 05:30,1594.0,820.0,395.0,451.0,407.0,336.0
01/02/2019 05:45,1536.0,937.0,388.0,569.0,437.0,392.0
01/02/2019 06:00,1490.0,855.0,304.0,529.0,370.0,422.0
01/02/2019 06:15,1367.0,777.0,258.0,427.0,403.0,363.0
01/02/2019 06:30,1391.0,748.0,350.0,517.0,372.0,449.0
01/02/2019 06:45,1607.0,768.0,309.0,514.0,346.0,432.0
01/02/2019 07:00,1514.0,639.0,280.0,442.0,362.0,313.0
01/02/2019 07:15,1387.0,730.0,356.0,472.0,314.0,404.0
01/02/2019 07:30,1581.0,610.0,275.0,529.0,306.0,353.0
01/02/2019 07:45,1649.0,537.0,266.0,463.0,312.0,358.0
01/02/2019 08:00,1575.0,616.0,302.0,551.0,283.0,431.0
01/02/2019 08:15,1664.0,549.0,321.0,417.0,298.0,459.0
01/02/2019 08:30,1629.0,523.0,288.0,469.0,297.0,359.0
01/02/2019 08:45,1562.0,531.0,317.0,516.0,316.0,406.0
01/02/2019 09:00,1501.0,565.0,369.0,452.0,311.0,416.0
01/02/2019 09:15,1214.0,536.0,351.0,483.0,301.0,450.0
01/02/2019 09:30,1219.0,504.0,387.0,399.0,308.0,419.0
01/02/2019 09:45,1250.0,539.0,569.0,546.0,378.0,431.0
01/02/2019 10:00,1320.0,624.0,615.0,592.0,434.0,524.0
01/02/2019 10:15,1239.0,622.0,709.0,569.0,541.0,546.0
01/02/2019 10:30,1446.0,632.0,827.0,589.0,553.0,638.0
01/02/2019 10:45,1403.0,684.0,741.0,572.0,483.0,535.0
01/02/2019 11:00,1264.0,531.0,543.0,472.0,429.0,490.0
01/02/2019 11:15,1089.0,420.0,546.0,439.0,384.0,444.0
01/02/2019 11:30,1053.0,440.0,478.0,396.0,315.0,344.0
01/02/2019 11:45,865.0,388.0,287.0,389.0,242.0,341.0
01/02/2019 12:00,776.0,298.0,344.0,341.0,200.0,266.0
01/02/2019 12:15,586.0,250.0,274.0,322.0,197.0,213.0
01/02/2019 12:30,606.0,203.0,232.0,305.0,149.0,207.0
01/02/2019 12:45,515.0,252.0,269.0,249.0,145.0,200.0
