Date,Station0,Station1,Station2,Station3,Station4,Station5
01/01/2019 05:30,0,0,0,1,0,0
01/01/2019 05:45,1,5,0,0,4,0
01/01/2019 06:00,1,7,3,10,6,74
01/01/2019 06:15,518,93,47,47,38,143
01/01/2019 06:30,915,156,74,80,63,94
01/01/2019 06:45,810,119,58,120,92,64
01/01/2019 07:00,900,183,73,187,106,95
01/01/2019 07:15,1059,325,78,249,164,118
01/01/2019 07:30,1259,398,129,345,228,155
01/01/2019 07:45,1561,472,160,439,296,189
01/01/2019 08:00,1876,426,193,354,287,217
01/01/2019 08:15,1935,630,265,438,341,250
01/01/2019 08:30,1743,868,254,552,436,499
01/01/2019 08:45,2103,1219,288,646,413,447
01/01/2019 09:00,2156,1288,283,650,497,480
01/01/2019 09:15,2181,1175,224,838,544,485
01/01/2019 09:30,2134,1381,279,778,512,501
01/01/2019 09:45,1939,1564,254,697,604,577
01/01/2019 10:00,2197,1656,241,764,717,502
01/01/2019 10:15,2116,1998,298,728,690,548
01/01/2019 10:30,2257,1761,257,829,755,562
01/01/2019 10:45,2307,2244,296,830,812,580
01/01/2019 11:00,2467,2097,309,878,827,717
01/01/2019 11:15,2691,2148,287,832,870,675
01/01/2019 11:30,2532,2246,313,739,871,607
01/01/2019 11:45,2894,2183,287,647,786,661
01/01/2019 12:00,3086,2309,295,678,719,667
01/01/2019 12:15,3554,2087,315,673,807,885
01/01/2019 12:30,3724,2323,320,533,926,758
01/01/2019 12:45,3777,2219,314,775,894,800
01/01/2019 13:00,3375,2381,385,917,836,885
01/01/2019 13:15,3478,2231,344,905,804,925
01/01/2019 13:30,3504,2214,363,746,790,957
01/01/2019 13:45,3163,2134,392,762,730,926
01/01/2019 14:00,3307,2347,315,678,844,935
01/01/2019 14:15,3701,2213,427,873,828,1045
01/01/2019 14:30,3620,2207,411,836,845,1128
01/01/2019 14:45,4207,1981,442,847,762,866
01/01/2019 15:00,3717,1944,426,873,711,1056
01/01/2019 15:15,3641,1713,449,877,676,852
01/01/2019 15:30,3564,1710,453,656,618,1139
01/01/2019 15:45,4115,1619,534,842,642,1004
01/01/2019 16:00,3536,1256,512,898,587,919
01/01/2019 16:15,4087,1428,562,1014,592,825
01/01/2019 16:30,3521,1364,559,913,560,932
01/01/2019 16:45,3719,1167,504,858,655,755
01/01/2019 17:00,3323,1117,572,794,600,823
01/01/2019 17:15,2879,1138,591,881,650,811
01/01/2019 17:30,3068,1024,516,776,620,846
01/01/2019 17:45,2928,1009,579,805,530,677
01/01/2019 18:00,2959,944,639,667,488,745
01/01/2019 18:15,2855,843,475,725,452,755
01/01/2019 18:30,2948,833,580,660,458,683
01/01/2019 18:45,2526,711,440,691,366,492
01/01/2019 19:00,2548,612,418,668,342,560
01/01/2019 19:15,2218,596,370,623,309,463
01/01/2019 19:30,2054,616,359,489,300,469
01/01/2019 19:45,2056,502,475,477,251,495
01/01/2019 20:00,1790,363,449,376,240,351
01/01/2019 20:15,1348,389,453,375,239,374
01/01/2019 20:30,1198,336,464,351,252,366
01/01/2019 20:45,1084,365,348,307,197,318
01/01/2019 21:00,859,262,480,292,216,294
01/01/2019 21:15,632,189,423,232,170,222
01/01/2019 21:30,394,176,310,340,171,198
01/01/2019 21:45,337,167,311,266,152,225
01/01/2019 22:00,207,116,285,264,152,203
01/01/2019 22:15,254,119,276,220,117,219
01/01/2019 22:30,155,73,187,99,124,167
01/01/2019 22:45,537,79,60,84,43,82
01/01/2019 23:00,1197,136,84,144,84,141
01/01/2019 23:15,1163,260,117,340,123,164
01/01/2019 23:30,1145,406,214,439,221,228
01/01/2019 23:45,1405,545,372,631,340,239
